proto,port,open,hint,banner,details,error,tls_subject,tls_issuer,rdns,fingerprint
tcp,476,False,,,{},,,,DESKTOP-G804P63,
tcp,477,False,,,{},,,,DESKTOP-G804P63,
tcp,478,False,,,{},,,,DESKTOP-G804P63,
tcp,479,False,,,{},,,,DESKTOP-G804P63,
tcp,480,False,,,{},,,,DESKTOP-G804P63,
tcp,481,False,,,{},,,,DESKTOP-G804P63,
tcp,482,False,,,{},,,,DESKTOP-G804P63,
tcp,483,False,,,{},,,,DESKTOP-G804P63,
tcp,484,False,,,{},,,,DESKTOP-G804P63,
tcp,485,False,,,{},,,,DESKTOP-G804P63,
